year;age;sex;maritl;race;education;jobclass;health;health_ins;logwage;wage
2006;36;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.5;89.88
2003;56;Male;Never Married;White; Advanced Degree; Information;Regular o Mala; Yes;4.48;87.98
2006;70;Male;Never Married;White; College Grad; Industrial;Regular o Mala; Yes;4.48;87.98
2004;25;Male;Never Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.64;103.9
2006;32;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; No;4.66;105.93
2003;27;Male;Married;White;  < HS Grad; Industrial;Muy Buena o Excelente; No;4.19;66.23
2004;28;Male;Married;Asian; College Grad; Industrial;Muy Buena o Excelente; No;3.54;34.61
2007;27;Male;Never Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.7;109.83
2004;43;Male;Never Married;White;  < HS Grad; Industrial;Regular o Mala; No;3.81;45.28
2005;50;Male;Never Married;Other;  < HS Grad; Industrial;Regular o Mala; Yes;4.3;73.78
2004;39;Male;Married;Black; HS Grad; Information;Muy Buena o Excelente; No;4.4;81.28
2008;52;Male;Married;White; Advanced Degree; Industrial;Muy Buena o Excelente; Yes;5.04;154.69
2007;57;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;5.18;176.99
2006;25;Male;Never Married;White;  < HS Grad; Industrial;Muy Buena o Excelente; No;4.19;66.23
2006;33;Male;Never Married;White; HS Grad; Information;Regular o Mala; Yes;4.76;116.27
2008;71;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.62;101.82
2003;23;Male;Never Married;White; Some College; Industrial;Muy Buena o Excelente; No;3.56;35.03
2009;30;Male;Never Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.74;114.48
2004;22;Male;Never Married;Black; HS Grad; Information;Muy Buena o Excelente; Yes;4.4;81.28
2003;28;Male;Never Married;Asian; College Grad; Information;Muy Buena o Excelente; Yes;5;148.41
2004;61;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.6;99.69
2003;34;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.72;111.72
2005;43;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;5.03;152.84
2006;54;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; No;4.76;117.15
2005;69;Male;Married;White; HS Grad; Industrial;Regular o Mala; Yes;4.35;77.74
2004;41;Male;Married;White; Some College; Industrial;Regular o Mala; Yes;4.48;87.98
2003;48;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.83;125.53
2003;49;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.81;123.34
2009;42;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;5.06;158.29
2004;55;Male;Married;Asian; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.6;99.69
2008;21;Male;Never Married;Black; HS Grad; Industrial;Muy Buena o Excelente; No;4.26;70.48
2004;58;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.54;94.07
2006;31;Male;Never Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.4;81.28
2006;25;Male;Never Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.4;81.28
2006;32;Male;Never Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.61;100.76
2009;40;Male;Never Married;Black;  < HS Grad; Information;Muy Buena o Excelente; Yes;4.54;94.07
2003;44;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; No;4.6;99.69
2006;23;Male;Never Married;White;  < HS Grad; Industrial;Regular o Mala; Yes;4.4;81.28
2003;63;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; No;4.73;113.57
2008;44;Male;Never Married;White;  < HS Grad; Industrial;Regular o Mala; No;4.48;87.98
2005;47;Male;Married;Asian; Advanced Degree; Information;Regular o Mala; Yes;4.86;128.68
2004;61;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.67;106.72
2009;55;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; No;4.19;66.04
2003;24;Male;Never Married;White;  < HS Grad; Industrial;Regular o Mala; No;3.94;51.52
2007;42;Male;Widoed;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.45;85.38
2006;25;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.34;76.89
2004;34;Male;Divorced;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.51;90.48
2009;53;Male;Married;White;  < HS Grad; Information;Muy Buena o Excelente; No;4.22;68.08
2009;53;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.88;130.98
2009;70;Male;Married;Asian; Advanced Degree; Information;Regular o Mala; No;4.85;127.9
2004;47;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.88;131.22
2003;46;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.6;99.69
2003;33;Male;Divorced;White;  < HS Grad; Industrial;Regular o Mala; Yes;4.34;76.89
2005;34;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.68;107.9
2006;22;Male;Never Married;White; HS Grad; Industrial;Regular o Mala; No;4.4;81.28
2009;74;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.6;99.69
2003;40;Male;Married;Black; Some College; Information;Regular o Mala; Yes;4.59;98.6
2009;43;Male;Married;Asian; College Grad; Information;Muy Buena o Excelente; Yes;5.05;156.5
2005;33;Male;Married;Asian; College Grad; Information;Muy Buena o Excelente; Yes;4.98;144.94
2009;62;Male;Married;Black; College Grad; Information;Muy Buena o Excelente; Yes;4.78;118.88
2008;37;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.8;121.43
2004;54;Male;Married;White; HS Grad; Information;Regular o Mala; Yes;4.72;111.72
2005;34;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; No;4.23;68.75
2008;50;Male;Never Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.74;114.48
2006;46;Male;Divorced;White; Some College; Industrial;Regular o Mala; Yes;4.56;95.23
2007;41;Male;Married;White;  < HS Grad; Industrial;Muy Buena o Excelente; No;4.48;87.98
2003;63;Male;Divorced;Black; Some College; Industrial;Regular o Mala; Yes;4.16;64.27
2007;38;Male;Married;White; Some College; Industrial;Regular o Mala; Yes;4.86;128.68
2006;35;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.74;114.48
2009;29;Male;Married;White; College Grad; Information;Regular o Mala; Yes;4.72;112.65
2008;66;Male;Married;White;  < HS Grad; Industrial;Muy Buena o Excelente; Yes;4.4;81.28
2004;37;Male;Married;White; HS Grad; Information;Regular o Mala; Yes;4.33;75.9
2006;39;Male;Married;Black; HS Grad; Information;Muy Buena o Excelente; Yes;4.72;112.14
2003;42;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.45;85.38
2007;51;Male;Divorced;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.54;94.07
2009;55;Male;Married;Asian; Advanced Degree; Industrial;Regular o Mala; Yes;4.74;114.48
2006;51;Male;Married;White; Advanced Degree; Industrial;Muy Buena o Excelente; Yes;5.18;176.99
2005;49;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.62;101.82
2006;42;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; No;4.52;91.7
2009;43;Male;Separated;White;  < HS Grad; Information;Regular o Mala; No;4.46;86.7
2006;38;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;5.09;162.95
2008;59;Male;Married;Asian; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.94;139.21
2009;57;Male;Married;White; Some College; Industrial;Regular o Mala; Yes;4.56;95.23
2005;25;Male;Never Married;White; HS Grad; Industrial;Regular o Mala; No;4.2;66.96
2004;49;Male;Married;White; College Grad; Industrial;Regular o Mala; Yes;4.88;131.19
2004;41;Male;Married;White;  < HS Grad; Industrial;Muy Buena o Excelente; Yes;4.51;90.48
2009;38;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.74;114.48
2003;61;Male;Married;White; Advanced Degree; Industrial;Muy Buena o Excelente; Yes;4.37;79.13
2007;49;Male;Divorced;White; HS Grad; Industrial;Regular o Mala; Yes;4.65;104.59
2008;52;Male;Divorced;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.89;132.49
2007;43;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.95;141.78
2008;60;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.81;123.09
2005;46;Male;Married;Asian; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.9;134.71
2004;21;Male;Never Married;White; HS Grad; Information;Muy Buena o Excelente; No;4.02;55.77
2009;61;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.67;106.92
2007;32;Male;Married;Black; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.78;118.88
2004;58;Male;Married;White; HS Grad; Information;Regular o Mala; Yes;4.48;87.98
2003;35;Male;Never Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.49;88.93
2004;26;Male;Never Married;Black; HS Grad; Information;Muy Buena o Excelente; Yes;4.4;81.28
2006;32;Male;Never Married;Black; HS Grad; Industrial;Muy Buena o Excelente; No;4.54;94.07
2003;37;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.67;106.92
2007;22;Male;Never Married;Asian; HS Grad; Industrial;Regular o Mala; No;4.08;59.1
2005;51;Male;Never Married;White; HS Grad; Industrial;Regular o Mala; No;4.18;65.11
2004;44;Male;Divorced;White; Advanced Degree; Information;Regular o Mala; Yes;4.79;120.59
2005;35;Male;Married;Asian; Advanced Degree; Industrial;Muy Buena o Excelente; Yes;5.06;157.7
2004;60;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.86;129.45
2007;40;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;5.18;176.99
2004;35;Male;Never Married;White;  < HS Grad; Information;Muy Buena o Excelente; No;4.08;59.1
2007;35;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; No;4.54;94.07
2008;47;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.9;134.71
2003;43;Male;Never Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.4;81.28
2003;33;Male;Married;White;  < HS Grad; Industrial;Regular o Mala; Yes;4.4;81.28
2003;60;Male;Divorced;White; Advanced Degree; Industrial;Muy Buena o Excelente; Yes;5.03;153.46
2008;38;Male;Married;Asian; Advanced Degree; Industrial;Muy Buena o Excelente; Yes;4.92;136.88
2005;53;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; No;4.32;75.04
2004;55;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.87;130.22
2003;57;Male;Married;Black; HS Grad; Information;Regular o Mala; No;4.65;104.92
2005;64;Male;Married;White; College Grad; Information;Regular o Mala; No;3.9;49.56
2007;43;Male;Married;White; HS Grad; Industrial;Regular o Mala; Yes;4.82;123.91
2008;35;Male;Married;Black; Some College; Information;Muy Buena o Excelente; Yes;4.81;123.09
2008;54;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; No;4.36;78.16
2007;45;Male;Married;White; HS Grad; Information;Regular o Mala; Yes;4.3;73.78
2003;58;Male;Divorced;Asian; College Grad; Information;Muy Buena o Excelente; Yes;4.93;138.3
2007;48;Male;Married;White; College Grad; Information;Regular o Mala; No;4.85;127.12
2003;46;Male;Married;Asian;  < HS Grad; Industrial;Muy Buena o Excelente; Yes;4.23;68.75
2004;46;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.44;84.39
2009;55;Male;Married;White;  < HS Grad; Industrial;Muy Buena o Excelente; Yes;4.45;85.38
2006;51;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.86;128.68
2005;49;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.26;70.48
2008;34;Male;Never Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.34;76.89
2007;53;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; No;5;148.41
2004;40;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;5;148.41
2009;50;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;5.17;175.96
2006;37;Male;Divorced;White;  < HS Grad; Information;Regular o Mala; Yes;4.59;98.6
2003;39;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.98;145.14
2004;52;Male;Married;White; College Grad; Industrial;Regular o Mala; Yes;4.6;99.69
2003;50;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.95;141.09
2006;48;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.81;123.09
2006;47;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.86;129.45
2005;27;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.72;111.72
2006;39;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.64;103.9
2009;44;Male;Married;Black; HS Grad; Information;Regular o Mala; Yes;4.78;118.88
2003;37;Male;Married;Black; Some College; Industrial;Muy Buena o Excelente; Yes;5.02;151.59
2006;52;Male;Married;White; HS Grad; Industrial;Regular o Mala; No;4.62;101.82
2004;26;Male;Never Married;Asian; Some College; Industrial;Muy Buena o Excelente; Yes;4.6;99.69
2008;39;Male;Married;Asian; Advanced Degree; Industrial;Regular o Mala; Yes;4.6;99.69
2006;25;Male;Married;Black; HS Grad; Industrial;Regular o Mala; No;4.6;99.69
2005;31;Male;Never Married;White; College Grad; Information;Muy Buena o Excelente; No;4.54;94.07
2004;58;Male;Married;White; Some College; Industrial;Regular o Mala; Yes;5.03;152.22
2005;30;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.65;104.92
2004;27;Male;Married;White;  < HS Grad; Industrial;Regular o Mala; Yes;4.18;65.11
2003;40;Male;Divorced;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.56;95.23
2006;55;Male;Married;White; Advanced Degree; Industrial;Muy Buena o Excelente; Yes;5.16;173.88
2009;35;Male;Married;Asian; Advanced Degree; Information;Muy Buena o Excelente; Yes;5.26;193.41
2008;48;Male;Married;White; HS Grad; Industrial;Regular o Mala; No;4.74;114.48
2006;29;Male;Never Married;Asian; College Grad; Industrial;Regular o Mala; Yes;5.08;160.64
2005;25;Male;Never Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.49;89.49
2004;40;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.79;120.59
2006;27;Male;Married;White;  < HS Grad; Information;Regular o Mala; No;4.3;73.78
2006;44;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.85;127.12
2006;49;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.78;118.88
2003;22;Male;Never Married;White; Some College; Industrial;Regular o Mala; No;3.54;34.61
2007;45;Male;Married;White; Some College; Industrial;Regular o Mala; Yes;4.74;114.48
2007;33;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; No;4.45;85.38
2006;49;Male;Never Married;Black; College Grad; Industrial;Muy Buena o Excelente; Yes;4.95;141.78
2005;39;Male;Never Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.88;130.98
2007;25;Male;Never Married;Other;  < HS Grad; Industrial;Regular o Mala; No;4.3;73.78
2005;29;Male;Never Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.88;130.98
2006;37;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.32;75.04
2008;35;Male;Married;White; Advanced Degree; Information;Regular o Mala; Yes;5.04;154.99
2009;46;Male;Married;White; HS Grad; Industrial;Regular o Mala; Yes;4.65;104.92
2008;58;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.29;73.12
2003;39;Male;Married;White; Advanced Degree; Industrial;Muy Buena o Excelente; Yes;4.81;123.09
2008;41;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;5.06;157.7
2008;29;Male;Married;Black; College Grad; Information;Muy Buena o Excelente; Yes;4.4;81.28
2009;37;Male;Married;White; College Grad; Information;Regular o Mala; Yes;4.68;107.26
2009;62;Male;Married;White; HS Grad; Information;Regular o Mala; No;4.37;78.98
2008;27;Male;Never Married;Black; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.3;73.78
2003;37;Male;Married;White; HS Grad; Industrial;Regular o Mala; Yes;4.54;94.07
2006;56;Male;Separated;Asian; College Grad; Information;Regular o Mala; No;4.6;99.69
2004;36;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;5.18;176.99
2005;23;Male;Never Married;Other; HS Grad; Information;Muy Buena o Excelente; No;4.3;73.78
2003;46;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.6;99.69
2009;26;Male;Never Married;White; Some College; Industrial;Muy Buena o Excelente; No;4.54;94.07
2006;43;Male;Married;White;  < HS Grad; Information;Muy Buena o Excelente; Yes;4.56;95.23
2007;36;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.85;127.12
2003;54;Male;Separated;White; Some College; Information;Regular o Mala; Yes;4.6;99.69
2003;62;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.56;95.69
2006;40;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.7;109.83
2006;53;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.78;118.88
2007;48;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;5.18;176.99
2004;23;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; No;4.11;61.19
2009;34;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.4;81.28
2006;55;Male;Married;White; HS Grad; Information;Regular o Mala; Yes;4.4;81.28
2007;59;Male;Never Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.4;81.28
2007;60;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; No;4.02;55.77
2009;49;Male;Never Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.32;75.36
2006;45;Male;Married;Asian; Some College; Industrial;Muy Buena o Excelente; Yes;4.88;130.98
2006;31;Male;Divorced;White; HS Grad; Industrial;Muy Buena o Excelente; No;3.78;43.74
2004;34;Male;Never Married;White; College Grad; Information;Regular o Mala; Yes;4.74;114.48
2005;26;Male;Never Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.74;114.48
2007;22;Male;Never Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.4;81.28
2004;40;Male;Married;White; HS Grad; Information;Regular o Mala; No;4.23;68.57
2009;41;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.7;109.83
2006;36;Male;Never Married;Black; Some College; Industrial;Muy Buena o Excelente; Yes;4.58;97.49
2007;38;Male;Married;White;  < HS Grad; Industrial;Muy Buena o Excelente; No;4.13;62.4
2003;48;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.58;97.49
2006;47;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.9;134.71
2005;47;Male;Separated;White;  < HS Grad; Industrial;Regular o Mala; No;4.11;61.19
2007;35;Male;Married;White; College Grad; Information;Regular o Mala; No;4.78;118.88
2008;49;Male;Married;Asian; HS Grad; Information;Muy Buena o Excelente; Yes;4.18;65.11
2004;40;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.7;109.83
2004;32;Male;Widoed;Asian; College Grad; Industrial;Muy Buena o Excelente; No;4.65;104.92
2008;57;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.3;73.78
2008;56;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.95;141.78
2009;73;Male;Married;White;  < HS Grad; Industrial;Regular o Mala; No;4.51;90.48
2007;29;Male;Never Married;White; HS Grad; Industrial;Regular o Mala; Yes;4.3;73.78
2003;49;Male;Married;Asian; Advanced Degree; Industrial;Muy Buena o Excelente; Yes;4.9;134.71
2009;30;Male;Never Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.7;109.83
2008;29;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.52;91.7
2004;36;Male;Married;White; Some College; Information;Muy Buena o Excelente; No;4.56;95.23
2009;39;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;5.05;156.5
2007;48;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.65;104.92
2006;45;Male;Married;Black; College Grad; Industrial;Muy Buena o Excelente; Yes;4.6;99.69
2004;50;Male;Married;White; College Grad; Industrial;Regular o Mala; No;4;54.6
2003;42;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;3.48;32.37
2007;58;Male;Married;White; Some College; Industrial;Regular o Mala; No;4.78;118.88
2007;48;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.7;109.83
2003;48;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.7;109.83
2005;45;Male;Married;White; Some College; Information;Muy Buena o Excelente; Yes;4.78;118.88
2007;41;Male;Divorced;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.71;110.78
2008;27;Male;Never Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.54;93.56
2004;44;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.7;109.83
2003;32;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.78;118.88
2006;46;Male;Married;White;  < HS Grad; Information;Muy Buena o Excelente; Yes;4.78;118.88
2005;52;Male;Married;Black; HS Grad; Information;Regular o Mala; No;3.95;52.16
2003;22;Male;Never Married;White; Some College; Industrial;Muy Buena o Excelente; No;3.78;43.74
2004;53;Male;Widoed;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.76;117.15
2008;34;Male;Married;White; Advanced Degree; Industrial;Regular o Mala; Yes;4.78;118.88
2009;38;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;5;148.41
2009;42;Male;Married;White;  < HS Grad; Information;Muy Buena o Excelente; Yes;4.62;101.82
2005;25;Male;Never Married;Black; Some College; Information;Muy Buena o Excelente; Yes;4.54;94.07
2004;29;Male;Never Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.46;86.7
2005;28;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.95;141.78
2005;46;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.2;66.96
2007;55;Male;Married;Black; Advanced Degree; Information;Muy Buena o Excelente; Yes;4.78;118.88
2004;56;Male;Married;White; HS Grad; Industrial;Regular o Mala; No;4.66;105.77
2005;41;Male;Divorced;Black; HS Grad; Information;Regular o Mala; Yes;4.78;118.88
2009;61;Male;Married;White; Advanced Degree; Information;Muy Buena o Excelente; No;5.18;176.99
2003;47;Male;Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.18;65.11
2006;52;Male;Married;White; Some College; Industrial;Muy Buena o Excelente; Yes;4.45;85.38
2004;27;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; No;4.28;72.15
2007;33;Male;Never Married;Black; Some College; Information;Muy Buena o Excelente; Yes;4.49;89.24
2003;58;Male;Never Married;White; HS Grad; Information;Regular o Mala; Yes;4.18;65.11
2005;27;Male;Married;White; College Grad; Industrial;Muy Buena o Excelente; Yes;4.98;145.81
2009;52;Male;Separated;Black; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.48;87.98
2003;45;Male;Married;White; Advanced Degree; Industrial;Muy Buena o Excelente; No;3.72;41.1
2003;22;Male;Never Married;White; HS Grad; Information;Muy Buena o Excelente; Yes;4.23;68.4
2005;25;Male;Never Married;White; Some College; Industrial;Regular o Mala; Yes;4.4;81.28
2004;25;Male;Never Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.3;73.78
2005;41;Male;Married;Black;  < HS Grad; Industrial;Muy Buena o Excelente; Yes;4.88;130.98
2006;54;Male;Separated;White; College Grad; Industrial;Muy Buena o Excelente; Yes;5;148.41
2007;23;Male;Married;White; HS Grad; Industrial;Muy Buena o Excelente; Yes;4.4;81.23
2006;36;Male;Never Married;White; Advanced Degree; Industrial;Muy Buena o Excelente; Yes;4.15;63.19
2004;31;Male;Separated;White; Some College; Industrial;Regular o Mala; Yes;4.54;94.07
2006;52;Male;Married;White; HS Grad; Information;Regular o Mala; Yes;4.53;92.66
2007;46;Male;Married;Black; HS Grad; Information;Regular o Mala; No;4.34;76.89
2007;45;Male;Married;White; HS Grad; Industrial;Regular o Mala; Yes;4.78;118.88
2009;40;Male;Married;White; HS Grad; Industrial;Regular o Mala; No;4.38;79.85
2004;33;Male;Never Married;Asian; College Grad; Information;Muy Buena o Excelente; Yes;4.46;86.7
2007;42;Male;Married;White; College Grad; Information;Muy Buena o Excelente; Yes;4.9;133.97
